gene0	Chromosome:1-1524
gene3858	Chromosome:4222581-4222667
gene3859	Chromosome:4222694-4223680
gene3860	Chromosome:4223699-4224895
gene3861	Chromosome:4224985-4226985
gene3862	Chromosome:4226989-4227525
gene3863	Chromosome:4227529-4228350
gene3864	Chromosome:4228347-4229261
gene3865	Chromosome:4229258-4230100
gene3866	Chromosome:4230256-4231236
gene3867	Chromosome:4231320-4232393
gene3868	Chromosome:4232374-4233597
gene3869	Chromosome:4233610-4234536
gene3870	Chromosome:4234780-4235265
gene3871	Chromosome:4235374-4235739
gene3872	Chromosome:4235779-4237164
gene3873	Chromosome:4237165-4237929
gene3874	Chromosome:4237932-4239863
gene3875	Chromosome:4239863-4243147
gene3876	Chromosome:4243233-4246517
gene3877	Chromosome:4246514-4249810
gene3878	Chromosome:4249878-4251005
gene3879	Chromosome:4251085-4252866
gene3880	Chromosome:4252993-4254327
gene3881	Chromosome:4254380-4255948
gene3882	Chromosome:4255945-4261146
gene3883	Chromosome:4261153-4263066
gene3884	Chromosome:4263355-4264365
gene3885	Chromosome:4264563-4265462
gene3886	Chromosome:4265642-4266658
gene3887	Chromosome:4266953-4268836
gene3888	Chromosome:4268925-4269833
gene3889	Chromosome:4269840-4270337
gene3890	Chromosome:4270366-4272279
gene3891	Chromosome:4272276-4273475
gene3892	Chromosome:4273739-4274593
gene3893	Chromosome:4274798-4276417
gene3894	Chromosome:4276571-4278085
gene3895	Chromosome:4278394-4279215
gene3896	Chromosome:4279230-4280015
gene3897	Chromosome:4280033-4280788
gene3898	Chromosome:4280792-4281571
gene3899	Chromosome:4281647-4282402
gene3900	Chromosome:4282449-4283999
gene3901	Chromosome:4283996-4284331
gene3902	Chromosome:4284419-4285825
gene3903	Chromosome:4285973-4286686
gene3904	Chromosome:4286721-4287935
gene3905	Chromosome:4288260-4291529
gene3906	Chromosome:4291639-4293174
gene3907	Chromosome:4293225-4299605
gene3908	Chromosome:4299812-4301566
gene3909	Chromosome:4301563-4302789
gene3910	Chromosome:4302786-4303397
gene3911	Chromosome:4303398-4305008
gene3912	Chromosome:4305056-4305685
gene3913	Chromosome:4305757-4306239
gene3914	Chromosome:4306236-4306811
gene3915	Chromosome:4306867-4307658
gene3916	Chromosome:4307655-4308914
gene3917	Chromosome:4309047-4310396
gene3918	Chromosome:4310401-4310814
gene3919	Chromosome:4311009-4311707
gene3920	Chromosome:4311704-4312669
gene3921	Chromosome:4312765-4313541
gene3922	Chromosome:4313567-4313980
gene3923	Chromosome:4314178-4314723
gene3924	Chromosome:4314738-4315562
gene3925	Chromosome:4315568-4316596
gene3926	Chromosome:4317073-4317165
gene3927	Chromosome:4318775-4319266
gene3928	Chromosome:4319281-4319640
gene3929	Chromosome:4320704-4321327
gene3930	Chromosome:4321538-4322071
gene3931	Chromosome:4322326-4323234
gene3932	Chromosome:4323499-4323897
gene3933	Chromosome:4324015-4324671
gene3934	Chromosome:4324683-4324967
gene3935	Chromosome:4325074-4325478
gene3936	Chromosome:4325495-4325968
gene3937	Chromosome:4326004-4327473
gene3938	Chromosome:4327549-4328199
gene3939	Chromosome:4328401-4329408
gene3940	Chromosome:4329417-4329614
gene3941	Chromosome:4330039-4331505
gene3942	Chromosome:4331498-4336081
gene3943	Chromosome:4336777-4337949
gene3944	Chromosome:4337946-4338272
gene3945	Chromosome:4338171-4338521
gene3946	Chromosome:4338849-4340027
gene3947	Chromosome:4340270-4341478
gene3948	Chromosome:4341566-4341877
gene3949	Chromosome:4341880-4342731
gene3950	Chromosome:4342770-4343321
gene3951	Chromosome:4343314-4345035
gene3952	Chromosome:4345039-4346481
gene3953	Chromosome:4346481-4348724
gene3954	Chromosome:4348827-4350602
gene3955	Chromosome:4350745-4351044
gene3956	Chromosome:4351075-4352181
gene3957	Chromosome:4352274-4352576
gene3958	Chromosome:4352609-4352896
gene3959	Chromosome:4353010-4355010
gene3960	Chromosome:4355007-4356542
gene3961	Chromosome:4356693-4357535
gene3962	Chromosome:4357593-4359782
gene3963	Chromosome:4360199-4360546
gene3964	Chromosome:4360543-4361925
gene3965	Chromosome:4362032-4363420
gene3966	Chromosome:4363417-4364757
gene3967	Chromosome:4364979-4366838
gene3968	Chromosome:4366908-4368521
gene3969	Chromosome:4368518-4370170
gene3970	Chromosome:4370155-4371684
gene3971	Chromosome:4371681-4372706
gene3972	Chromosome:4372800-4373630
gene3973	Chromosome:4373726-4374013
gene3974	Chromosome:4374049-4374372
gene3975	Chromosome:4374484-4375683
gene3976	Chromosome:4375762-4375995
gene3977	Chromosome:4376262-4380452
gene3978	Chromosome:4380453-4381940
gene3979	Chromosome:4381943-4382851
gene3980	Chromosome:4383008-4383640
gene3981	Chromosome:4383653-4383985
gene3982	Chromosome:4384147-4385379
gene3983	Chromosome:4385373-4386308
gene3984	Chromosome:4386365-4386814
gene3985	Chromosome:4387365-4387895
gene3986	Chromosome:4387892-4390432
gene3987	Chromosome:4390437-4390709
gene3988	Chromosome:4390720-4391031
gene3989	Chromosome:4391097-4391606
gene3990	Chromosome:4391631-4393073
gene3991	Chromosome:4393449-4394195
gene3992	Chromosome:4394192-4396600
gene3993	Chromosome:4396597-4400151
gene3994	Chromosome:4400186-4400854
gene3995	Chromosome:4400870-4401634
gene3996	Chromosome:4401728-4402735
gene3997	Chromosome:4402732-4403082
gene3998	Chromosome:4403192-4404412
gene3999	Chromosome:4404433-4405167
gene4000	Chromosome:4405457-4406491
gene4001	Chromosome:4406488-4407531
gene4002	Chromosome:4407528-4408202
gene4003	Chromosome:4408334-4408897
gene4004	Chromosome:4408969-4410069
gene4005	Chromosome:4410053-4410415
gene4006	Chromosome:4410412-4410789
gene4007	Chromosome:4410786-4410929
